agency_name,system_name,authority,categories_of_record,xml_url
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"[""HUD Central Accounting and Program System (HUDCAPS, A75).""]","[""Sec. 113 of the Budget and Accounting Act of 1950, 31 U.S.C. 66a. (Pub. L. 81-784); The Chief Financial Officers Act of 1990; Executive Order 9397, as amended by Executive Order 13478; The Housing and Community Development Act of 1987, 42 U.S.C. 3543.""]","[""The system contains the following employee/vendor information: Vendor/employee name, Vendor Number (EIN—Employer Identification Number, SSN—Social Security Number, and/or TIN—Tax Identification Number), address, Data Universal Numbering System (DUNS), Banking Account/Routing numbers, and financial data."", [""Note:"", "" Vendor and social security numbers are no longer being entered in HUDCAPS, with the exception of programs handled by the PIH Financial Management Center (FMC).""], ""For historical purposes, HUDCAPS stores vendor records for previous travel records, which includes social security numbers, bank account numbers, and routing numbers.""]",https://www.federalregister.gov/documents/full_text/xml/2018/03/14/2018-05070.xml
DEPARTMENT OF DEFENSE ,,,,https://www.federalregister.gov/documents/full_text/xml/2011/06/27/2011-15987.xml
DEPARTMENT OF DEFENSE,"[""DLA Hometown News Releases.""]","[""5 U.S.C. 301, Departmental Regulations and 10 U.S.C. 136, Under Secretary of Defense for Personnel and Readiness.""]","[""Information is submitted electronically using the Joint Hometown News Service Defense Media Activity Web page; and includes name, local address, branch of service, status, rank, pay grade, gender, newsworthy event, marital status, names and addresses of relatives (parents, stepparents, guardians, aunts/uncles, grandparents, and adult siblings), present unit of assignment, job title, years of military service, education data, and photographs.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/24/2011-15775.xml
DEPARTMENT OF EDUCATION,"[""National Student Loan Data System (NSLDS).""]","[""The authority under which the system is maintained includes sections 101, 102, 485, and 485B of the HEA (20 U.S.C. 1001, 1002, 1092, and 1092B). The collection of SSNs of borrowers who are covered by this system is authorized by 31 U.S.C. 7701 and Executive Order 9397 (November 22, 1943), as amended by Executive Order 13478 (November 18, 2008).""]","[""Records in NSLDS include, but are not limited to: (1) Borrower identifier information including Social Security Number (SSN), name, date of birth, and driver's license; (2) information on the borrower's loan(s) covering the period from the origination of the loan through final payment, cancellation, consolidation, discharge, or other final disposition including details such as loan amount, disbursements, balances, loan status, collections, claims, deferments, refunds, and cancellations; (3) student identifiers including the student's SSN, date of birth, and name, student enrollment information including the Office of Postsecondary Education identification number (OPEID number) of the institution where the student began a program of study that prepares students for gainful employment in a recognized occupation pursuant to sections 1001 and 1002 of the HEA (“gainful employment program”), the Classification of Instructional Program (CIP) code for the program in which the student enrolled, and if the student completed the program, the completion date, and CIP code of the completed program, the level of study, the amount of the student's private educational loan debt, the amount of institutionally provided financing owed by the student, whether the student matriculated to a higher credentialed program at the same institution or another institution, aggregated income information on graduates of the particular gainful employment program, and the median loan debt incurred by students who completed the gainful employment program; (4) student demographic information such as dependency status, citizenship, veteran status, marital status, gender, income and asset information, expected family contribution, and address; (5) information provided by the parent(s) of a dependent recipient, including, but not limited to: name, date of birth, SSN, marital status, e-mail address, highest level of schooling completed, and income and asset information; (6) information about the spousal income and asset information of a married borrower who is repaying a title IV, HEA loan under an income-based repayment plan; (7) Federal Pell Grant, ACG Grant, National SMART Grant, TEACH Grant, and Iraq and Afghanistan Service Grant amounts and dates of disbursement; (8) Federal Pell Grant, ACG Grant, National SMART Grant, Iraq and Afghanistan Service Grant, FSEOG, and Federal Perkins Loan Program overpayment amounts; (9) demographic and contact information on the guaranty agency that guarantees the borrower's FFEL loan and the lender(s), holder(s), and servicer(s) of the borrower's loan(s); (10) NSLDS user profiles that include name, SSN, date of birth, employer, and NSLDS user name; (11) information concerning the date of any default on loans and the aggregated loan data to support cohort default rate calculations for educational institutions, financial institutions, and guaranty agencies; (12) pre- and post-screening results used to determine a student or parent's aid eligibility; and, (13) information on financial institutions participating in the loan participation and sale programs established by the Department under the Ensured Continued Access to Student Loan Act of 2008 (ECASLA), including the collection of: ECASLA loan-level funding amounts, dates of ECASLA participation for financial institutions, dates and amounts of loans sold to the Department under ECASLA, and the amount of loans funded by the Department's programs but repurchased by the lender.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/24/2011-15747.xml
FEDERAL COMMUNICATIONS COMMISSION,"[""FCC/OMD-16, Personnel Security Files.""]","[[""Depending upon the purpose(s) for the investigation, the U.S. government is authorized to ask for this information under 5 U.S.C. 1303, 1304, 3301, 7902, 9101; 42 U.S.C. 2165 and 2201; 50 U.S.C. 781 to 887; 5 CFR parts 5, 732, and 736; "", ""Executive Orders"", "" 9397, 10450, 10865, 12196, 12333, 12356, and 12674, 13587; and "", ""Homeland Security Presidential Directive (HSPD) 12,"", "" Policy for a Common Identification Standard for Federal Employees and Contractors, August 27, 2004.""]]","[""The categories of records in this system include, but are not limited to:"", ""1. The information, as applicable, that is needed to identify an individual, including but not limited to the individual's last, first, and middle names, and former name(s), Social Security Number (SSN)/Taxpayer Identification Number (TIN), Personal Identity Verification (PIV) data, date of birth, birthplace, facial photograph(s) and/or other biometric data, home address, home telephone number(s), residential history, office and personal email address(es), organizational (bureau/office) unit, and position title;"", [""2. Background information that includes but is not limited to the individual's citizenship, types and dates of investigations, agency conducting investigation, investigation dates, security clearance(s) "", ""1"", {}, "" and grant date(s), and position sensitivity level(s), and miscellaneous investigation comments and records;""], {""P""=>[""1"", "" A security clearance ("", ""i.e.,"", "" “Certificate of Clearance”) is a government document authorizing a specific security status granted to an individual allowing the person access to classified information (state or organizational secrets) or to restricted areas, after completion of a thorough background check).""]}, ""3. Names of relatives, birth date(s), home address(es), personal telephone number, email address(es), citizenship, and relatives who work for the Federal government;"", ""4. Contact with foreign officials and foreign travel registries, as applicable;"", ""5. Reports that include, but are not limited to information that determines the individual's qualifications for a position, including but not limited to the employee/applicant's employment/work history, summary report of investigation(s), results of suitability decision(s), employment references, and contact information, and educational/training institutions attended, degrees and certifications earned, and educational and training references;"", ""6. Background information that includes but is not limited to what is required to investigate an individual's character, conduct, and behavior in the community where he or she lives or lived; criminal history, including but not limited to arrests and convictions for violations against the law; mental health history; drug use history; financial information that includes but is not limited to income tax return information, credit reports, and related financial information; reports that include but are not limited to information obtained from interviews with present and former supervisors, co-workers, associates, educators, and other related personal references and contact information;"", [""7. Reports that include, but are not limited to inquiries with law enforcement agencies, employers, and reports of action after the Office of Personnel Management (OPM) or FBI Section 8(d) Full Field Investigation; Notices of Security Investigation and other information developed from “Certificates of Clearance,” "", ""2"", {}, "" including. but not limited to date(s) of security clearances, requests for appeals, witness statements, investigator's notes, security violations, circumstances of violations, and agency action(s) taken;""], {""P""=>[""2"", "" "", ""Op. cite.""]}, ""8. Information needed to investigate allegations of FCC employee's misconduct, including but not limited to identifying any insider threats and related activities;"", ""9. Information needed to investigate miscellaneous complaints not covered by the FCC's formal or informal grievance procedure;"", ""10. Information including, but is not limited to what is needed to investigate violence, threats, harassment, intimidation, insider threat activity, or other inappropriate behavior causing an FCC employee, contractor, or visitor to fear for his/her personal safety in the FCC workplace: Case number, victim's name, office telephone number, room number, office email address, organizational unit, duty station, position, supervisor, supervisor's telephone number, location of incident, activity at time of incident, circumstances surrounding the incident, perpetrator, name(s) and telephone number(s) and email address(es) of witness(es), injured party(s), medical treatment(s), medical report, property damages, report(s) to police and/or Federal Protective Services, and related miscellaneous information; and"", [""11. Information obtained from sources that include but are not limited to SF-85, SF-85P, SF-86, and SF-87 forms, summary reports from OPM or another Federal agency conducting background investigations, and results of adjudications, and security violations."", ""3"", {}], {""P""=>[""3"", "" This system of records does not duplicate or supersede the Office of Personnel Management (OPM): OPM/Central-9 system of records, which covers the investigations OPM and its contractors conduct on behalf of other agencies at: "", ""https://www.opm.gov/information-management/privacy-policy/sorn/opm-sorn-central-9-personnel-investigations-records.pdf.""]}]",https://www.federalregister.gov/documents/full_text/xml/2018/03/12/2018-04943.xml
DEPARTMENT OF AGRICULTURE,"[""Veterinary Medicine Loan Repayment Program (VMLRP) Record System, USDA/NIFA-1.""]","[""7 U.S.C. 3151a; 28 U.S.C. 3201; 31 U.S.C. 7701.""]","[""Categories of records in this system include: Name, address, Social Security number, program application and associated forms (which includes reports and surveys), service pay-back obligations, employment data, professional performance and credentialing history of licensed veterinarians; personal, professional, and demographic background information; standard veterinary school expected expenses; financial data including loan balances, deferment, forbearance, and repayment/delinquent/default status information; commercial credit reports; educational data including tuition and other related educational expenses; educational data including academic program and status; employment status verification (which includes certifications and verifications of continuing participation in qualified service); Federal, State and county tax related information, including copies of tax returns, correspondence to and from Program applicants and participants and/or their representatives.""]",https://www.federalregister.gov/documents/full_text/xml/2018/03/09/2018-04759.xml
FEDERAL COMMUNICATIONS COMMISSION,"["" FCC/OGC-5, Pending Civil Cases.""]","[[""47 U.S.C. 401 and 402; 31 U.S.C. 3729-3733."", {}]]","[""Information in this system of records may include, but is not limited to letters, memoranda, pleadings, briefs, and bankruptcy papers.""]",https://www.federalregister.gov/documents/full_text/xml/2018/03/07/2018-04562.xml
FEDERAL HOUSING FINANCE AGENCY,"[""Suspended Counterparty Program System FHFA-23.""]",,,https://www.federalregister.gov/documents/full_text/xml/2018/03/06/2018-04527.xml
DEPARTMENT OF DEFENSE,"[""Automated Civil Engineer System Records""]","[""10 U.S.C. 8013, Secretary of the Air Force: Powers and duties; delegation by; Department of Defense Regulation 5200.2-R, DoD Personnel Security Program; 10 U.S.C. 9832, Property accountability; Air Force Instruction 33-332, Privacy Act Program; and E.O. 9397 (SSN), as amended.""]","[""Individual's name, nick names, Social Security Number (SSN), gender, date of birth, personal cell phone number, home telephone number, personal e-mail addresses, mailing/home address, marital status, and emergency contact name and phone number.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/23/2011-15735.xml
DEPARTMENT OF DEFENSE,"[""Marine Qualification Records (July 25, 2008, 73 FR 43419).""]","[""10 U.S.C. 3013, Secretary of the Army; Army Regulation 56-9, Watercraft; and E.O. 9397 (SSN), as amended.""]","[""Name, Social Security Number (SSN), grade, primary military occupational specialty, unit, skill level, individual's request for examination, test results, character and suitability statements, physical qualification reports, experience qualifications and evaluations, commander's recommendation, Marine Qualification Board recommendation and final action thereon, U.S. Army Marine Licenses.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/20/2011-15272.xml
DEPARTMENT OF DEFENSE,"[""National Security Education Program Records.""]","[[""50 U.S.C. 1901 "", ""et seq.,"", "" as amended, the David L. Boren National Security Education Act of 1991; DoD Instruction 1025.02, National Security Education Program; and E.O. 9397 (SSN), as amended.""]]","[[""Information collected on the online application and an award recipient includes: Title; full name; current address, city, state, and zip code; permanent address, city, state; Social Security Number (SSN); current telephone number and permanent telephone number; email address; voting district; date of birth; country or state of birth; naturalization information; educational information; region, country, and language to be "", {}, ""studied under award; other languages spoken; proficiency in language studied at time of award; overseas experience; relevant activities; honors and awards; government agencies of interest; proposed study abroad program information and budget; other scholarship funding information; gender; ethnicity; employer name and employer address; supervisor name, title, and telephone number; position title; employment dates and hours; language used in position; security clearance held for position; award type; date of award completion; graduation date; length of service requirement; date of availability for work; information on veterans preference, Federal employment history, and preferences with regard to being contacted by intelligence agencies; degree information; foreign language information; job history; overseas experience; other information e.g., special recognitions or memberships; special skills and qualifications; fieldwork or volunteer experience.""]]",https://www.federalregister.gov/documents/full_text/xml/2011/06/17/2011-15020.xml
POSTAL SERVICE,"[""HSPD-12: Identity Management System (IDMS).""]","[""39 U.S.C. 401, and Homeland Security Presidential Directive 12, Policy for a Common Identification Standard for Federal Employees and Contractors, August 27, 2004.""]","[[""1. "", ""Cardholder information:"", "" Records related to issuance of identity management credentials, including name, date of birth, Social Security Number (SSN), organizational and employee affiliations, fingerprints, digital color photograph, work e-mail address, and phone number(s) as well as additional verification and demographic information. Other types of data contained in the system include federal emergency response official status; law enforcement official status; and Personal Identity Verification (PIV) Card issuance location. Records in the IDMS needed for credential management for enrolled individuals in the PIV Program include: PIV Card serial number (all past and current Card ID numbers are retained); digital certificate(s) serial number; PIV Card issuance and expiration dates; PIV Card personal identification number (PIN); Cardholder Unique Identification Number (CHUID); card management keys.""], [""2. "", ""Card-swipe records:"", "" Records related to employees and visitors who enter and leave participating federal facilities and disaster recovery areas. This does not include direct tracking of access to USPS facilities.""], [""3. "", ""Computer access authorization information:"", "" Records related to computer users, including logon ID; Social Security Number, Employee Identification Number, or other assigned identifier; employment status information; and extent of access granted.""]]",https://www.federalregister.gov/documents/full_text/xml/2011/06/17/2011-15038.xml
DEPARTMENT OF DEFENSE,"[""Army Training Information Architecture—Learning Management System (ATIA-LMS).""]","[""10 U.S.C. 3013, Secretary of the Army; Army Regulation 350-1, Army Training and Leader Development; Army Regulation 350-10, Management of Army Individual Training Requirements and Resources; and E.O. 9397 (SSN), as amended.""]","[""Files contain name, grade/rank, Social Security Number (SSN), address, service component, branch, personnel classification, military occupational specialty, credit hours accumulated, examination and lesson grades, student academic status, curricula, course description.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/16/2011-14935.xml
DEPARTMENT OF DEFENSE,"[""Air Force Integrated Personnel and Pay System (AF-IPPS).""]","[""10 U.S.C. 113 note, Secretary of Defense; 10 U.S.C. 8013, Secretary of the Air Force; 37 U.S.C Pay and Allowances of the Uniformed Services; 10 U.S.C., Armed Forces; Under Secretary of Defense for Personnel and Readiness; E.O. 9397 (SSN), as amended.""]","[""Personal Information: Individual's name, rank/grade, address, date of birth, eye color, height, weight, place of birth, Social Security Number (SSN), and similar personal identifiers for beneficiary/dependant purposes; driver's license number, security clearance level, office location, assigned user name and security questions, local and home of record addresses, phone numbers and emergency contact information."", ""Personnel Information: Evaluation and review history, enrollment, participation, status and outcome information for personnel programs, service qualification and performance measures, types of orders, accomplishments, skills and competencies, career preferences, contract information related to accession and Oath of Office, enlistment and re-enlistment, and separation information, benefits eligibility, enrollment, designations and status information, Uniform Code of Military Justice (UCMJ) actions summarizing court martial, non-judicial punishments, and similar or related documents. Circumstances of an incident the member was involved in and whether he or she is in an injured, wounded, seriously wounded, or ill duty status from the incident."", ""Duty related information: Duty station, employment and job related information and history, deployment information, work title, work address and related work contact information (e.g., phone and fax numbers, E-mail address), supervisor's name and related contact information."", ""Education and training: Graduation dates and locations, highest level of education, other education, training and school information including courses and training completion dates."", ""Pay Entitlement and Allowances: Pay information including earnings and allowances, additional pay (bonuses, special, and incentive pays), payroll computation, balances and history with associated accounting elements, leave balances and leave history."", ""Deductions from Pay: Tax information (federal, state and local) based on withholding options, payroll deductions, garnishments, savings bond information including designated owner, deductions, and purchase dates, thrift savings plan participation."", [""Other pay-related information: Direct deposit information including financial institution name, routing number, and account information."", {}]]",https://www.federalregister.gov/documents/full_text/xml/2011/06/16/2011-14940.xml
DEPARTMENT OF EDUCATION,"[""Student Aid internet Gateway (SAIG), Participation Management System (18-11-10).""]","[[""Title IV of the Higher Education Act of 1965, as amended (HEA), 20 U.S.C. 1070 "", ""et seq."", "" The collection of Social Security numbers of users of this system is authorized by 31 U.S.C. 7701 and Executive Order 9397, as amended by Executive Order 13478 (November 18, 2008).""]]","[[""This system maintains identifying information that authorized individuals affiliated with an authorized entity provide to create an account to request electronic access to the Department's Federal Student Aid systems or access to the DHS system for the purposes of administering or assisting in administering programs authorized under title IV of the HEA. This information includes the individual's name, address, and other identifying information ("", ""e.g.,"", "" mother's maiden name, Social Security number (SSN), and date of birth).""]]",https://www.federalregister.gov/documents/full_text/xml/2018/03/01/2018-04141.xml
ENVIRONMENTAL PROTECTION AGENCY,"[""ELPG Case Management System (ELPG-CMS), EPA-76.""]","[[""Title VII of the Civil Rights Act of 1964, 42 U.S.C. 2000e "", ""et seq."", "" (1964); Equal Pay Act of 1963 (EPA), 29 U.S.C. 206(d) (1963); Age Discrimination in Employment Act of 1967 (ADEA), 29 U.S.C. 621-634 (2013); Americans with Disabilities Act of 1990 (ADA), 42 U.S.C. 12101-12213 (2013) (amended 2008); Genetic Information Nondiscrimination Act of 2008 (GINA), Public Law 110-233, 122 Stat. 881; Sections 501 and 505 of the Rehabilitation Act of 1973, Public Law 93-112, 87 Stat. 355 (codified as amended in scattered sections of the 29 U.S.C and 31-41c U.S.C.); Uniformed Services Employment and Reemployment Rights of 1994, 38 U.S.C. 4301-4335 (1994); Civil Service Reform Act of 1978, Public Law 95-454, 92 Stat. 1111; Occupation Safety and Health Act of 1970, 29 U.S.C. ch. 15, § 651 "", ""et seq."", "" (1971); Whistleblower Protection Enhancement Act of 2012 (WPEA), Public Law 112-199.""]]","[""This system will contain general human resources elements, including First/Middle/Last Name, Appointment Type, Appointment Not-to-Exceed Date (if applicable), Service Computation Date for Leave Accrual Purposes, Service Computation Date for Retirement Eligibility Purposes, Position Title, Pay Plan, Occupational Series, Grade, Step, Supervisory Code, Bargaining Unit Status Code, Organizational Breakdown of Position's Location and Duty Station. The system will also contain Adverse Action case file information regarding employee counseling for misconduct or poor performance, disciplinary actions, adverse actions, performance-based actions, performance assistance plans, performance improvement plans, reasonable accommodation requests, including medical information. The system will also contain Office of Inspector General investigatory information regarding allegations of employee misconduct, including Reports of Investigation, Final Summary Reports, Memorandums of Interviews, Memorandum of Activity, and supporting exhibits."", ""The system will also contain documents created and/or submitted in anticipation of litigation, as well as during the course of litigation, including, but not limited to, Merit System Protection Board (MSPB) appeals, Equal Employment Opportunity Commission (EEOC) appeals, Department of Labor (DOL) appeals, Unemployment proceedings, Office of Special Counsel complaints, and Federal District Court proceedings."", ""Documents provided as part of litigation or employment law matters may include various types of information including, but not limited to, names, addresses, social security numbers, medical and/or financial information contained in pleadings, motions, exhibits, and any other documents provided to the Office of General Counsel.""]",https://www.federalregister.gov/documents/full_text/xml/2018/03/01/2018-04186.xml
NATIONAL SCIENCE FOUNDATION,,,,https://www.federalregister.gov/documents/full_text/xml/2018/03/01/2018-04159.xml
DEPARTMENT OF HOMELAND SECURITY,"[""DHS/USCIS-014 Electronic Immigration System-1 Temporary Accounts and Draft Benefit Requests System of Records; DHS/USCIS-015 Electronic Immigration System-2 Account and Case Management System of Records; and DHS/USCIS-016 Electronic Immigration System-3 Automated Background Functions System of Records.""]",,,https://www.federalregister.gov/documents/full_text/xml/2018/02/28/2018-04006.xml
DEPARTMENT OF HOMELAND SECURITY,"[""Department of Homeland Security (DHS)/ALL-042 Personnel Networking and Collaboration System of Records.""]","[""Authority for maintaining this system is in 5 U.S.C. 301, 44 U.S.C. 3101; 44 U.S.C. 3534; Homeland Security Act of 2002, and as amended; Executive Order 13576 (June 13, 2011).""]","[""Categories of records in this system include:"", ""• Individual's name;"", ""• Individual's photograph;"", ""• Position/Title;"", ""• Organization/Component affiliation;"", ""• Business phone numbers;"", ""• Business email addresses;"", ""• Work/Office addresses;"", ""• Educational background/history and accomplishments;"", ""• Professional background/work history and accomplishments;"", ""• Individual's military experience, if applicable; and"", ""• Other relevant biographical information that the individual may voluntarily provide.""]",https://www.federalregister.gov/documents/full_text/xml/2018/02/28/2018-04001.xml
FEDERAL COMMUNICATIONS COMMISSION,"[""FCC/OGC-3, Adjudication of Internal Complaints against Employees.""]","[""5 U.S.C. 301.""]","[""Information in this system of records involves internal personnel disputes that have reached the litigation stage, and may include but are not limited to correspondence, memoranda, transcripts of hearings, briefs, pleadings, investigative reports, and decisions of hearing examiners and Commissioners.""]",https://www.federalregister.gov/documents/full_text/xml/2018/02/22/2018-03653.xml
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,"[""P085—COMPREHENSIVE SERVICING AND MONITORING SYSTEM (CSMS)""]","[[""HUD/FHA collects social security numbers during the FHA loan endorsement process and by request via IRS Form W-9 to update its records. Tenant information is collected by HUD contractors under the National Housing Act (12 U.S.C 1701 "", ""et seq."", ""). CSMS provides servicing for loans acquired through the payment of an insurance claims under Housing Act Sections 202, 207, 223(f), 236, 221(d)(3), 221 (d)(4), 232, and 242. In addition, CSMS includes Mark to Market loans including Demonstration preservation programs from the Multifamily Assisted Housing Reform and Affordability Act of 1997 (MAHRA) (42 U.S.C. 1437f) and Demonstration preservation programs of the Office of Recapitalization (RECAP). CSMS collects and shares SSNs and PII externally with credit reporting agencies (pursuant to 5 U.S. Code 552a), banks (pursuant to Section 6109 of the Internal Revenue Code), and with the IRS (pursuant to Section 6109 of the Internal Revenue Code).""]]","[[""• "", ""Loan Servicing/Claims:"", "" Mortgagors/Borrowers and authorized contacts' names and addresses, Borrower's TIN/Social Security Numbers, phone numbers; email addresses; banking information (institutional information, routing, account numbers and account type); loan amounts (assigned balance, unpaid principal balance, face amount), interest rates, loan terms, and loan statuses; claim data (amount, expenses, interest paid by HUD, certificate of claim liability); payment and other financial account data such as loan balances, loan history, interest accrued, fees incurred, real estate property information, property taxes and insurance amounts, reserve for replacement escrow accounts and related invested escrows; accounting data including debits and credits to HUD accounts based on transaction events.""], [""• "", ""Vendor Information:"", "" Service fees, late fees, and other billing data; collection history; expenses incurred for foreclosure and acquisition, protection and preservation, attorney fees, special assessments; disbursements for taxes, insurance, and any other miscellaneous disbursements; Mortgagee-in-Possession activity, appraisals, closing costs; asset sales, other loan termination data; UCC and filings by jurisdiction with due dates, filing costs, continuation data.""], [""• "", ""HUD-Owned Property:"", "" Property names, addresses, authorized contacts names and addresses, phone numbers, email addresses; property financial account data such as income and expense; acquisition data; sale data, potential bidders, bid packages, closing activities; vendor/business partner (banking information, TIN/SSN number, routing, account numbers, small business identifier, and other socioeconomic data); accounting data including debits and credits to HUD accounts based on transaction events.""], [""• "", ""HUD-Owned Property Tenant:"", "" Tenants' names, addresses, social security number, marital status, gender, family members; lease information, including rent, subsidies, fees, collections, history, and eviction status.""], [""• "", ""Uniform Commercial Code (UCC)/202:"", "" Property names, addresses, authorized contacts' names and addresses, phone numbers, email addresses; loan maturity date; status; UCC filing by jurisdiction due dates, filing costs, continuation data.""]]",https://www.federalregister.gov/documents/full_text/xml/2018/02/20/2018-03393.xml
DEPARTMENT OF EDUCATION,"[""Parking Application Tracking System (PATS)(18-05-01).""]","[""The Federal Property and Administrative Services Act of 1949, as amended, 40 U.S.C. 101 et. seq., and 41 CFR 102-74.265-310 (Parking Facilities).""]","[""This system includes the following information on all persons applying for a parking permit: Name, participant-generated four-digit number, office room number, Department email address, office phone number, principal office, complete home address, and automobile license number, make and model.""]",https://www.federalregister.gov/documents/full_text/xml/2018/02/16/2018-03276.xml
OFFICE OF PERSONNEL MANAGEMENT,"[""Federal Employees Health Benefits Program Claims Data Warehouse.""]","[""The OIG is authorized to maintain FEHBP health claims information under § 6(a) of the Inspector General Act of 1978, as amended, 5 U.S.C. app. § 6(a). Authority is provided to OPM for maintenance of FEHBP health claims information by 5 U.S.C. 8910; 45 CFR 164.501, 164.512(d), which allow OPM access to records held by FEHBP contractors and require these contractors to submit reports on services provided to enrollees.""]","[""The records in the system may contain the following types of information on participating enrollees and covered dependents:"", ""a. Personally identifiable Information (PII) (Name, Social Security Number, Date of Birth, Gender, and FEHBP Member ID number)."", ""b. Home Address."", ""c. Covered dependent information (Spouse, Dependents)—names and genders."", ""d. Enrollee's employing agency."", ""e. Names of health care providers including health care providers debarred under 5 U.S.C. 8902a."", ""f. Health care provider address."", ""g. Health Care Provider Taxpayer Identification Number (TIN) or identifier issued by a carrier."", ""h. Health care coverage information regarding benefit coverage for the plan in which the person is enrolled."", ""i. Health care procedure information regarding procedures performed on the individual."", ""j. Health care diagnoses in the form of ICD codes, and treatments, including prescribed drugs, derived from clinical medical records."", ""k. Provider charges, including amounts paid by the plan and amounts paid by the enrollee for the above coverage, procedures, and diagnoses.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/15/2011-14840.xml
OFFICE OF PERSONNEL MANAGEMENT,"[""Health Claims Data Warehouse (HCDW).""]","[[""Authority for requiring FEHBP carriers to allow OPM access to records and for requiring reports, as well as authority for OPM's maintenance of FEHBP health claims information, is provided by 5 U.S.C. 8901, "", ""et seq."", "" Section 8910 of title 5 United States Code states, in relevant part: “(a) The Office of Personnel Management shall make a continuing study of the operation and administration of this chapter, including surveys and reports on health benefit plans available to employees and on the experience of the plans. (b) Each contract entered into under section 8902 of this title shall contain provisions requiring carriers to—(1) furnish such reasonable reports as the Office determines to be necessary to enable it to carry out its functions under this chapter; and (2) permit the Office and representatives of the Government Accountability Office to examine records of the carriers as may be necessary to carry out the purposes of this chapter.” As explained in greater detail in the “Purpose” section below, OPM plans to use the information collected in this system to assist in its administration of, and in carrying out its functions under 5 U.S.C. chapter 89.""]]","[""The records in the system may contain the following types of information on participating enrollees and covered dependents:"", ""a. Name, social security number, date of birth, gender."", ""b. Home address."", ""c. Covered dependent information (spouse, dependents)—name, social security number, date of birth, gender."", ""d. Enrollee's employing agency."", ""e. Name of health care provider."", ""f. Health care provider address."", ""g. Health care provider taxpayer identification number (TIN) or carrier identifier."", ""h. Health care coverage information regarding benefit coverage for the plan in which the person is enrolled."", ""i. Health care procedures performed on the individual in the form of ICD, CPT and other appropriate codes."", ""j. Health care diagnoses in the form of ICD codes, and treatments, including prescribed drugs, derived from clinical medical records."", ""k. Provider charges, amounts paid by the plan and amounts paid by the enrollee for the above coverage, procedures, and diagnoses.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/15/2011-14839.xml
DEPARTMENT OF THE TREASURY,"[""Consumer Financial Protection Bureau (CFPB) Implementation Team Correspondence Tracking Database.""]","[""Public Law 111-203, Title X, Sections 1012, 1066, codified at 12 U.S.C. 5492, 5586.""]","[""Records maintained in the database may contain (1) correspondence (including, without limitation, official letters, memoranda, faxes, telegrams, and e-mails) received and sent; (2) mailing lists of correspondence submitters; (3) identifying information regarding both the individual who is submitting the correspondence or the individual or entity on whose behalf such correspondence is submitted, such as the individual's name, phone number, address, e-mail address, and any other disclosed identifiable information; (4) information concerning the CFPB implementation team employees responsible for processing the correspondence; (5) correspondence disposition information; (6) correspondence tracking dates; and (7) internal office assignment information. Supporting records may include correspondence between the CFPB implementation team and the individual. Records related to consumer complaints will not be contained in this system.""]",https://www.federalregister.gov/documents/full_text/xml/2011/06/15/2011-14834.xml
DEPARTMENT OF EDUCATION,"[""Student Loan Repayment Benefits Case Files (18-05-15).""]","[""The Floyd D. Spence National Defense Authorization Act of Fiscal Year 2001 (Pub. L. 106-398), as amended (5 U.S.C. 5379), and implementing regulations at 5 CFR part 537.""]","[""This system contains correspondence and other documents related to requests made by selecting officials or supervisors to offer student loan repayment benefits to recruit highly qualified job candidates or retain highly qualified employees. This system contains: (1) Request letters from selecting officials or supervisors with supporting documentation; (2) employees' and job candidates' names, home and work addresses, Social Security numbers, student loan account numbers, loan balances, repayment schedules, repayment histories, and repayment status; (3) the loan holders' names, addresses, and telephone numbers; and (4) a signed written service agreement in which an employee or job candidate agrees to complete a specified period of employment with ED.""]",https://www.federalregister.gov/documents/full_text/xml/2018/02/16/2018-03254.xml
